chr	from	to	state	length	slope	p	fcp	pol_mean	pol_left	pol_right	na	cor	slope_adj	pol_adj_left	pol_adj_right
chr21	10727001	10744000	U	17000	1536	93	86	53	41	66	0	68	1000	43	60
chr21	10763001	10781000	U	18000	2848	92	85	63	39	88	0	72	2500	42	87
chr21	10930001	10943000	U	13000	635	22	7	41	37	45	0	25	846	33	44
chr21	15356001	15414000	U	58000	680	93	87	55	36	75	2	70	586	34	68
chr21	15707001	15725000	U	18000	1153	83	68	47	37	56	0	62	944	38	55
chr21	15800001	15811000	U	11000	2355	87	58	48	36	60	0	48	364	42	46
chr21	17054001	17107000	U	53000	780	92	66	60	40	81	0	78	717	44	82
chr21	17740001	17792000	U	52000	715	99	95	53	35	72	0	72	846	32	76
chr21	18464001	18519000	U	55000	427	80	72	38	26	49	0	47	382	27	48
chr21	18612001	18636000	U	24000	1392	95	75	55	39	71	0	70	917	44	66
chr21	18703001	18717000	U	14000	2493	95	73	59	43	75	0	62	1429	48	68
chr21	19110001	19150000	U	40000	436	81	54	61	52	69	0	36	325	55	68
chr21	19254001	19266000	U	12000	1398	98	75	70	62	78	0	59	1000	59	71
chr21	20102001	20168000	U	66000	448	90	76	56	42	71	0	69	545	32	68
chr21	20942001	20998000	U	56000	372	95	93	52	42	62	0	53	554	34	65
chr21	21809001	21823000	U	14000	1461	72	23	38	29	48	0	53	500	40	47
chr21	22331001	22373000	U	42000	774	94	83	42	26	58	0	68	667	26	54
chr21	22913001	22928000	U	15000	1537	94	88	39	28	50	0	59	1533	27	50
chr21	23033001	23056000	U	23000	1433	80	47	57	41	73	0	64	1174	44	71
chr21	24756001	24775000	U	19000	1279	73	48	51	40	63	0	69	737	46	60
chr21	25173001	25189000	U	16000	1250	96	75	49	39	58	0	47	625	44	54
chr21	25512001	25526000	U	14000	2006	67	20	50	37	63	0	68	1000	43	57
chr21	26274001	26293000	U	19000	852	85	60	46	39	54	0	42	421	42	50
chr21	26962001	27088000	U	126000	405	97	95	44	19	69	1	81	429	20	74
chr21	27539001	27576000	U	37000	1186	93	86	46	24	67	0	71	1081	28	68
chr21	29159001	29171000	U	12000	2033	97	71	34	23	45	0	54	1083	30	43
chr21	29274001	29291000	U	17000	1867	90	81	37	22	52	0	75	824	26	40
chr21	29569001	29604000	U	35000	641	93	89	48	37	59	0	45	571	34	54
chr21	30361001	30380000	U	19000	1964	89	74	37	20	55	0	76	1474	22	50
chr21	30751001	30773000	U	22000	872	91	84	56	47	65	0	66	1000	52	74
chr21	32934001	32986000	U	52000	760	93	88	40	21	60	0	75	731	22	60
chr21	33985001	34004000	U	19000	1757	97	93	61	45	77	0	75	1842	38	73
chr21	34180001	34207000	U	27000	783	69	59	68	58	78	0	48	593	56	72
chr21	34585001	34601000	U	16000	1465	94	84	37	26	48	0	67	1188	21	40
chr21	34845001	34892000	U	47000	730	92	88	55	38	72	2	65	553	44	70
chr21	35209001	35286000	U	77000	617	98	95	51	28	75	1	84	610	29	76
chr21	35848001	35868000	U	20000	1060	95	88	55	45	65	0	61	900	45	63
chr21	36597001	36625000	U	28000	761	81	54	45	35	55	0	55	464	41	54
chr21	37671001	37712000	U	41000	1090	90	71	53	32	75	0	71	1024	28	70
chr21	38418001	38446000	U	28000	1550	92	88	59	38	80	0	78	1321	36	73
chr21	38696001	38735000	U	39000	119	95	64	60	57	62	3	12	410	50	66
chr21	38900001	38941000	U	41000	761	93	86	53	37	68	0	71	829	40	74
chr21	39733001	39747000	U	14000	1906	88	78	51	39	63	0	60	1286	40	58
chr21	40686001	40711000	U	25000	1467	93	85	35	18	53	0	81	1440	20	56
chr21	40951001	40990000	U	39000	446	66	44	64	55	72	0	54	154	56	62
chr21	42359001	42373000	U	14000	3145	89	78	45	24	65	7	72	1643	34	57
chr21	43140001	43155000	U	15000	389	66	58	53	51	56	0	28	533	48	56
chr21	43912001	43935000	U	23000	393	14	7	69	64	73	0	24	435	61	71
chr21	44360001	44401000	U	41000	365	49	35	46	39	54	0	42	537	34	56
chr21	44982001	45004000	U	22000	1034	84	74	37	27	48	0	58	545	28	40
chr21	45115001	45144000	U	29000	999	91	84	40	26	54	0	62	862	28	53
chr21	45178001	45210000	U	32000	515	57	31	51	43	59	0	57	656	41	62
chr21	45409001	45433000	U	24000	1033	95	86	56	44	68	0	67	750	50	68
chr21	45761001	45770000	U	9000	2947	18	4	66	54	78	0	73	1445	64	77
chr21	46483001	46499000	U	16000	1267	92	85	66	56	75	0	59	1125	56	74
chr21	46656001	46674000	U	18000	1765	74	57	41	26	56	0	70	889	32	48
