chr	from	to	state	length	slope	p	fcp	pol_mean	pol_left	pol_right	na	cor	slope_adj	pol_adj_left	pol_adj_right
chr21	10601001	10727000	L	126000	14	99	94	44	44	45	39	7	16	41	43
chr21	26661001	26962000	L	301000	-3	98	94	22	22	21	0	-4	-10	23	20
chr21	32285001	32934000	L	649000	-2	95	94	23	24	22	0	-5	-9	28	22
chr21	39966001	40686000	L	720000	-23	70	66	30	38	22	0	-44	-17	32	20
chr21	42873001	43140000	L	267000	41	94	86	39	34	44	19	35	52	34	48
chr21	43362001	43912000	L	550000	33	67	62	49	40	58	0	45	45	36	61
chr21	45565001	45761000	L	196000	161	35	19	57	41	73	1	69	128	39	64
chr21	46112001	46483000	L	371000	88	98	97	41	25	57	0	72	78	27	56
chr	from	to	state	length	slope	p	fcp	pol_mean	pol_left	pol_right	na	cor	slope_adj	pol_adj_left	pol_adj_right
chr22	16559001	16630000	L	71000	-78	98	95	39	41	36	0	-25	-85	41	35
chr22	20492001	20763000	L	271000	33	72	69	44	39	47	39	18	30	41	49
chr22	43411001	43482000	L	71000	184	97	95	44	39	51	24	24	28	42	44
chr22	51211001	51305000	L	94000	375	92	87	54	48	61	64	29	53	56	61
